Rental Price,Room Type,Accommodation Facilities,Link
RM 972.00,Master Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8209295/-zero-deposit-master-room-private-toilet-at-cyberjaya
RM 650.00,Middle Room,"['Washing Machine', 'Wifi / Internet Access', 'Private Bathroom', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8189330/middle-room-with-private-bathroom-at-lakefront-residence-cyberjaya
RM 500.00,Single Room,"['Air-Conditioning', 'Washing Machine', 'Cooking Allowed', 'Share Bathroom', 'Private Bathroom', 'Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8212382/single-room-at-mutiara-ville-cyberjaya
RM 370.00,Single Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8212362/single-room-at-cyberia-smarthomes-near-mmu-cyberjaya
RM 450.00,Studio,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8181821/edusphere-suites-room-to-rent
RM 600.00,Middle Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8211352/middle-room-at-summerglades-cyberjaya
RM 450.00,Studio,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8181871/edusphere-suites-room-for-rent
RM 450.00,Studio,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8181867/edusphere-suites-room-for-rent
RM 647.00,Studio,"['Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'Share Bathroom', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8181845/edusphere-suites-studio-for-rent
RM 500.00,Suite,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8181798/edusphere-suite-at-cyberjaya-selangor
